insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (1, 9, 12);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (65, 13, 4);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (66, 1, 7);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (67, 8, 18);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (68, 11, 14);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (69, 10, 1);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (70, 2, 13);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (71, 13, 11);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (72, 13, 8);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (73, 4, 12);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (74, 11, 19);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (75, 7, 4);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (76, 9, 8);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (77, 14, 8);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (78, 1, 9);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (79, 10, 16);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (80, 11, 6);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (81, 5, 16);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (82, 15, 2);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (83, 11, 20);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (84, 4, 10);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (85, 9, 3);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (86, 14, 20);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (87, 8, 15);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (88, 8, 12);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (89, 10, 5);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (90, 5, 2);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (91, 8, 9);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (92, 14, 12);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (93, 6, 19);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (94, 6, 14);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (95, 4, 3);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (96, 3, 7);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (97, 8, 3);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (98, 3, 17);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (99, 2, 5);
insert into ad2223_mtirado.Mesa (idMesa, numComensales, reserva) values (100, 11, 10);
