insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (1, 84, 'efectivo', 15.0);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (33, 5, 'tarjeta', 21.01);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (34, 7, 'efectivo', 21.23);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (35, 76, 'efectivo', 73.9);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (36, 92, 'efectivo', 50.82);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (37, 3, 'efectivo', 14.03);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (38, 28, 'tarjeta', 98.24);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (39, 93, 'efectivo', 45.15);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (40, 97, 'efectivo', 37.38);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (41, 97, 'tarjeta', 86.98);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (42, 51, 'efectivo', 45.18);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (43, 59, 'tarjeta', 77.08);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (44, 99, 'tarjeta', 7.59);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (45, 24, 'efectivo', 99.23);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (46, 65, 'tarjeta', 50.75);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (47, 34, 'tarjeta', 12.94);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (48, 63, 'tarjeta', 24.67);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (49, 55, 'efectivo', 82.02);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (50, 62, 'efectivo', 67.87);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (51, 59, 'efectivo', 4.67);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (52, 73, 'tarjeta', 42.87);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (53, 59, 'efectivo', 69.82);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (54, 44, 'efectivo', 83.6);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (55, 99, 'efectivo', 66.48);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (56, 57, 'tarjeta', 64.18);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (57, 20, 'efectivo', 70.47);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (58, 55, 'efectivo', 98.01);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (59, 59, 'efectivo', 46.38);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (60, 48, 'tarjeta', 22.72);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (61, 53, 'tarjeta', 63.63);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (62, 31, 'tarjeta', 12.63);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (63, 68, 'efectivo', 79.5);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (64, 25, 'efectivo', 64.24);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (65, 39, 'tarjeta', 84.18);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (66, 54, 'tarjeta', 62.75);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (67, 85, 'tarjeta', 73.08);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (68, 88, 'tarjeta', 5.79);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (69, 84, 'efectivo', 13.11);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (70, 89, 'tarjeta', 21.17);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (71, 33, 'tarjeta', 85.52);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (72, 13, 'tarjeta', 97.92);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (73, 95, 'efectivo', 37.61);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (74, 58, 'efectivo', 82.14);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (75, 64, 'efectivo', 83.1);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (76, 49, 'tarjeta', 25.0);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (77, 57, 'tarjeta', 23.67);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (78, 46, 'efectivo', 55.95);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (79, 50, 'efectivo', 81.03);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (80, 46, 'tarjeta', 5.67);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (81, 66, 'efectivo', 10.78);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (82, 4, 'efectivo', 87.32);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (83, 39, 'tarjeta', 91.61);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (84, 45, 'tarjeta', 68.25);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (85, 72, 'tarjeta', 39.29);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (86, 38, 'tarjeta', 52.46);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (87, 17, 'efectivo', 16.03);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (88, 25, 'efectivo', 65.83);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (89, 18, 'tarjeta', 74.63);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (90, 18, 'efectivo', 62.31);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (91, 50, 'tarjeta', 89.39);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (92, 12, 'efectivo', 77.6);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (93, 10, 'tarjeta', 9.18);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (94, 41, 'efectivo', 79.95);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (95, 99, 'efectivo', 2.25);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (96, 13, 'efectivo', 54.62);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (97, 17, 'efectivo', 16.07);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (98, 96, 'efectivo', 6.6);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (99, 94, 'tarjeta', 11.37);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (100, 24, 'efectivo', 3.21);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (101, 81, 'tarjeta', 32.19);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (102, 25, 'tarjeta', 33.51);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (103, 93, 'efectivo', 53.44);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (104, 49, 'tarjeta', 35.61);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (105, 58, 'tarjeta', 49.76);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (106, 80, 'efectivo', 32.55);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (107, 56, 'efectivo', 57.31);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (108, 3, 'efectivo', 35.38);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (109, 24, 'tarjeta', 25.61);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (110, 12, 'efectivo', 48.26);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (111, 18, 'tarjeta', 15.18);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (112, 5, 'tarjeta', 42.8);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (113, 38, 'efectivo', 33.3);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (114, 68, 'efectivo', 83.13);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (115, 60, 'efectivo', 8.98);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (116, 60, 'tarjeta', 29.52);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (117, 36, 'efectivo', 52.58);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (118, 30, 'tarjeta', 66.46);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (119, 72, 'efectivo', 79.62);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (120, 18, 'tarjeta', 9.51);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (121, 99, 'efectivo', 62.86);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (122, 48, 'efectivo', 11.56);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (123, 3, 'tarjeta', 79.61);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (124, 30, 'efectivo', 55.99);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (125, 7, 'efectivo', 53.21);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (126, 49, 'tarjeta', 6.54);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (127, 20, 'efectivo', 74.24);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (128, 85, 'efectivo', 84.15);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (129, 28, 'tarjeta', 82.64);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (130, 73, 'tarjeta', 36.32);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (131, 85, 'tarjeta', 63.65);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (132, 57, 'efectivo', 18.41);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (133, 44, 'efectivo', 81.52);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (134, 90, 'efectivo', 66.65);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (135, 36, 'efectivo', 76.05);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (136, 6, 'efectivo', 26.04);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (137, 82, 'efectivo', 77.83);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (138, 78, 'efectivo', 92.09);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (139, 2, 'tarjeta', 5.71);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (140, 65, 'tarjeta', 26.96);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (141, 42, 'efectivo', 91.16);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (142, 67, 'tarjeta', 48.82);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (143, 73, 'efectivo', 55.82);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (144, 2, 'tarjeta', 45.38);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (145, 78, 'tarjeta', 14.11);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (146, 74, 'tarjeta', 98.42);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (147, 88, 'tarjeta', 20.07);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (148, 74, 'efectivo', 52.32);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (149, 49, 'tarjeta', 76.48);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (150, 48, 'efectivo', 27.72);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (151, 89, 'efectivo', 24.85);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (152, 88, 'efectivo', 54.38);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (153, 16, 'tarjeta', 15.42);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (154, 10, 'tarjeta', 24.13);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (155, 45, 'efectivo', 79.54);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (156, 21, 'tarjeta', 16.63);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (157, 66, 'tarjeta', 88.86);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (158, 89, 'efectivo', 79.33);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (159, 98, 'efectivo', 70.95);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (160, 99, 'tarjeta', 98.85);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (161, 88, 'tarjeta', 65.75);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (162, 54, 'tarjeta', 71.99);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (163, 30, 'tarjeta', 95.71);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (164, 16, 'efectivo', 44.37);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (165, 61, 'efectivo', 89.06);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (166, 77, 'efectivo', 78.03);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (167, 78, 'tarjeta', 67.78);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (168, 91, 'efectivo', 71.61);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (169, 70, 'tarjeta', 83.17);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (170, 43, 'efectivo', 6.34);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (171, 28, 'tarjeta', 63.07);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (172, 39, 'efectivo', 57.74);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (173, 67, 'tarjeta', 20.82);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (174, 11, 'tarjeta', 99.79);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (175, 68, 'tarjeta', 1.8);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (176, 60, 'efectivo', 28.23);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (177, 92, 'tarjeta', 72.74);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (178, 46, 'tarjeta', 81.53);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (179, 2, 'tarjeta', 60.0);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (180, 90, 'efectivo', 48.25);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (181, 40, 'efectivo', 79.31);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (182, 24, 'tarjeta', 72.14);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (183, 19, 'efectivo', 13.2);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (184, 31, 'tarjeta', 83.46);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (185, 15, 'tarjeta', 13.48);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (186, 44, 'tarjeta', 15.17);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (187, 5, 'efectivo', 4.56);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (188, 28, 'efectivo', 31.53);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (189, 71, 'tarjeta', 61.2);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (190, 3, 'efectivo', 48.21);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (191, 60, 'efectivo', 9.76);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (192, 92, 'efectivo', 59.64);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (193, 26, 'tarjeta', 34.91);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (194, 88, 'tarjeta', 44.23);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (195, 62, 'tarjeta', 14.35);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (196, 49, 'tarjeta', 27.61);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (197, 30, 'tarjeta', 71.61);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (198, 83, 'efectivo', 79.54);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (199, 69, 'tarjeta', 98.22);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (200, 25, 'tarjeta', 60.99);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (201, 14, 'tarjeta', 14.95);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (202, 64, 'efectivo', 77.85);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (203, 57, 'tarjeta', 72.56);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (204, 36, 'tarjeta', 2.14);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (205, 52, 'efectivo', 80.87);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (206, 15, 'tarjeta', 18.39);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (207, 94, 'tarjeta', 59.38);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (208, 100, 'tarjeta', 73.89);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (209, 100, 'tarjeta', 68.3);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (210, 86, 'tarjeta', 50.3);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (211, 84, 'efectivo', 87.46);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (212, 64, 'tarjeta', 42.37);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (213, 42, 'tarjeta', 1.33);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (214, 94, 'tarjeta', 10.25);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (215, 61, 'efectivo', 22.49);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (216, 74, 'efectivo', 56.33);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (217, 84, 'tarjeta', 44.36);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (218, 51, 'tarjeta', 24.87);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (219, 97, 'efectivo', 41.76);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (220, 57, 'efectivo', 25.68);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (221, 37, 'efectivo', 79.71);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (222, 65, 'tarjeta', 28.25);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (223, 33, 'efectivo', 6.25);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (224, 62, 'tarjeta', 41.81);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (225, 49, 'efectivo', 72.39);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (226, 88, 'efectivo', 23.32);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (227, 91, 'efectivo', 79.42);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (228, 79, 'tarjeta', 61.33);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (229, 56, 'efectivo', 48.11);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (230, 39, 'efectivo', 80.52);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (231, 46, 'tarjeta', 23.64);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (232, 68, 'tarjeta', 83.39);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (233, 66, 'efectivo', 84.27);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (234, 58, 'efectivo', 14.99);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (235, 72, 'tarjeta', 29.79);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (236, 47, 'tarjeta', 73.06);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (237, 14, 'efectivo', 57.8);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (238, 53, 'tarjeta', 19.02);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (239, 15, 'efectivo', 22.92);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (240, 72, 'efectivo', 51.37);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (241, 93, 'tarjeta', 57.24);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (242, 36, 'efectivo', 39.22);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (243, 46, 'efectivo', 68.99);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (244, 98, 'tarjeta', 63.84);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (245, 44, 'tarjeta', 33.35);
insert into ad2223_mtirado.Factura (idFactura, idMesa, tipoPago, importe) values (246, 58, 'tarjeta', 11.28);
