insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (1, 151, 16, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (24, 93, 12, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (25, 259, 5, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (26, 38, 13, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (27, 208, 1, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (28, 133, 13, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (29, 139, 10, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (30, 47, 14, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (31, 273, 14, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (32, 107, 11, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (33, 274, 7, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (34, 116, 14, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (35, 131, 8, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (36, 93, 3, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (37, 180, 5, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (38, 2, 6, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (39, 157, 11, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (40, 22, 1, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (41, 180, 13, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (42, 101, 12, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (43, 279, 8, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (44, 176, 13, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (45, 17, 12, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (46, 194, 14, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (47, 210, 12, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (48, 138, 16, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (49, 100, 15, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (50, 139, 15, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (51, 136, 3, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (52, 177, 16, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (53, 2, 7, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (54, 126, 11, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (55, 131, 4, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (56, 29, 9, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (57, 93, 15, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (58, 203, 4, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (59, 73, 6, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (60, 23, 4, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (61, 16, 2, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (62, 286, 7, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (63, 258, 1, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (64, 243, 15, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (65, 294, 8, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (66, 87, 2, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (67, 75, 2, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (68, 157, 4, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (69, 198, 5, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (70, 10, 11, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (71, 166, 5, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (72, 235, 16, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (73, 59, 14, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (74, 130, 7, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (75, 51, 15, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (76, 146, 13, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (77, 267, 6, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (78, 133, 12, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (79, 179, 11, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (80, 161, 8, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (81, 57, 15, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (82, 180, 11, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (83, 142, 1, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (84, 198, 6, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (85, 172, 9, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (86, 277, 9, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (87, 61, 3, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (88, 1, 10, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (89, 139, 14, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (90, 150, 1, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (91, 154, 3, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (92, 24, 13, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (93, 58, 3, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (94, 106, 15, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (95, 16, 7, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (96, 178, 16, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (97, 245, 12, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (98, 64, 5, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (99, 6, 14, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (100, 84, 9, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (101, 176, 2, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (102, 289, 10, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (103, 291, 7, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (104, 133, 11, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (105, 17, 12, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (106, 44, 13, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (107, 117, 16, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (108, 21, 12, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (109, 9, 3, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (110, 37, 5, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (111, 37, 13, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (112, 17, 14, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (113, 202, 12, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (114, 118, 4, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (115, 18, 16, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (116, 228, 7, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (117, 132, 8, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (118, 216, 13, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (119, 50, 10, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (120, 68, 14, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (121, 134, 15, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (122, 44, 3, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (123, 271, 9, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (124, 61, 15, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (125, 209, 5, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (126, 17, 14, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (127, 275, 15, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (128, 224, 9, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (129, 155, 5, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (130, 76, 7, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (131, 204, 14, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (132, 212, 5, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (133, 66, 2, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (134, 109, 14, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (135, 282, 15, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (136, 275, 1, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (137, 212, 4, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (138, 47, 9, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (139, 5, 4, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (140, 244, 11, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (141, 131, 3, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (142, 240, 13, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (143, 232, 11, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (144, 212, 14, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (145, 158, 11, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (146, 39, 4, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (147, 12, 3, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (148, 132, 7, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (149, 87, 11, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (150, 28, 8, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (151, 207, 9, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (152, 83, 1, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (153, 251, 15, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (154, 115, 1, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (155, 49, 11, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (156, 194, 15, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (157, 99, 13, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (158, 99, 7, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (159, 113, 6, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (160, 10, 15, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (161, 164, 15, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (162, 34, 8, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (163, 272, 16, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (164, 254, 4, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (165, 8, 5, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (166, 132, 6, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (167, 66, 9, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (168, 284, 10, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (169, 24, 15, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (170, 157, 4, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (171, 68, 12, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (172, 19, 7, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (173, 3, 5, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (174, 174, 8, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (175, 80, 6, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (176, 12, 11, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (177, 75, 16, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (178, 84, 6, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (179, 19, 5, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (180, 274, 11, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (181, 55, 15, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (182, 257, 6, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (183, 246, 16, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (184, 10, 12, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (185, 14, 12, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (186, 143, 15, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (187, 239, 11, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (188, 252, 15, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (189, 290, 10, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (190, 208, 2, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (191, 35, 1, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (192, 232, 11, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (193, 37, 12, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (194, 18, 13, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (195, 286, 12, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (196, 43, 8, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (197, 296, 11, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (198, 6, 6, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (199, 56, 6, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (200, 119, 12, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (201, 144, 16, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (202, 120, 9, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (203, 181, 1, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (204, 171, 14, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (205, 196, 13, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (206, 88, 16, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (207, 231, 12, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (208, 249, 11, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (209, 120, 9, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (210, 255, 9, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (211, 64, 8, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (212, 51, 7, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (213, 292, 16, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (214, 115, 3, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (215, 209, 13, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (216, 236, 12, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (217, 292, 6, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (218, 140, 8, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (219, 21, 11, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (220, 50, 16, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (221, 66, 10, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (222, 30, 1, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (223, 239, 4, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (224, 36, 2, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (225, 254, 4, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (226, 218, 2, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (227, 120, 10, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (228, 134, 9, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (229, 39, 12, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (230, 56, 5, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (231, 23, 7, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (232, 240, 14, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (233, 182, 7, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (234, 265, 9, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (235, 265, 11, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (236, 98, 12, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (237, 136, 11, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (238, 100, 12, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (239, 155, 3, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (240, 42, 3, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (241, 113, 1, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (242, 16, 10, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (243, 55, 15, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (244, 15, 5, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (245, 63, 1, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (246, 11, 16, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (247, 93, 15, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (248, 161, 8, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (249, 151, 10, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (250, 232, 12, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (251, 44, 11, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (252, 37, 12, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (253, 147, 9, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (254, 137, 16, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (255, 274, 9, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (256, 27, 14, 3);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (257, 254, 14, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (258, 54, 4, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (259, 266, 7, 5);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (260, 259, 14, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (261, 284, 5, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (262, 294, 14, 4);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (263, 129, 14, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (264, 229, 1, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (265, 221, 2, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (266, 206, 2, 1);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (267, 292, 7, 2);
insert into ad2223_mtirado.Pedido (idPedido, idFactura, idProducto, cantidad) values (268, 294, 8, 5);
